StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q50,Q1,Q1_3_TEXT,Q2,Q2_7_TEXT,Q3,Q4,Q5,Q6,Q7,Q8,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q39,Q23,Q24,Q25,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q22_14,Q23,Q24,Q25,Q26,Q27,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q31,Q32,Q33,Q33_5_TEXT,Q34,Q35,Q36,Q38,Random ID
2023-05-11 9:05:22,2023-05-11 9:10:06,IP Address,100,284,TRUE,2023-05-11 9:10:07,R_eYhXzhytPECSZj3,anonymous,EN,I agree and consent,Man,,White,,18-24,The University of Wisconsin Milwaukee,Full courseload,Full courseload,3.3 - 4.0,12 months or less,Never,Never,Never,Never,Never,Never,No,No,Yes,No,Yes,Yes,No,Yes,15,10,10,50,10,10,2,10,20,0,2,0,8,,Occasionally,Never,Occasionally,Occasionally,Occasionally,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Reduced time on schoolwork,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Reduced time on schoolwork,Can't recall such a conflict,,Rearrange my schedule,Financial challenges,,Go to a 2 year program and become a robotics technician,I fully intend to,Very confident,I feel somewhat like I belong,47599205
2023-05-11 9:09:02,2023-05-11 9:12:06,IP Address,100,184,TRUE,2023-05-11 9:12:07,R_wMgymwb782TKAYF,anonymous,EN,I agree and consent,Man,,Another race/ethnicity not listed here (please specify),South Asian ,18-24,,Full courseload,Full courseload,3.3 - 4.0,12 months or less,At least once a month,At least once a month,Never,Never,At least once in the semester,At least once in the semester,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12587834
2023-05-11 9:23:52,2023-05-11 9:32:15,IP Address,100,502,TRUE,2023-05-11 9:32:15,R_pz8ekK0mtyFlT7b,anonymous,EN,I agree and consent,Man,,Hispanic or Latino,,18-24,University of Wisconsin Milwaukee,Full courseload,Full courseload,2.8 - 3.29,12 months or less,At least once in the semester,At least once in the semester,At least once in the semester,At least once in the semester,Never,At least once in the semester,No,No,No,Yes,No,No,No,No,24,20,0,35,14,10,8,0,0,0,4,0,0,0,Sometimes,Never,Often,Often,Often,Reduced time on schoolwork,Can't recall such a conflict,Reduced time on schoolwork,Found a way not to reduce time on either,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Reduced time on schoolwork,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,English and Math and Geology,do fixed homework first than any creative process work later,Not doing well enough academically,,Pursue Work in the Trades,I mostly intend to,Somewhat confident,I feel somewhat like I belong,8677730
2023-05-11 9:32:27,2023-05-11 9:37:21,IP Address,100,294,TRUE,2023-05-11 9:37:22,R_2rO5JL8FyWd3NBq,anonymous,EN,I agree and consent,Man,,Hispanic or Latino,,18-24,University of Wisconsin Milwaukee,Full courseload,Full courseload,2.8 - 3.29,12 months or less,At least once in the semester,At least once in the semester,At least once in the semester,At least once in the semester,Never,Never,No,No,No,No,No,No,No,No,24,20,0,35,8,14,4,0,0,0,7,0,0,0,Never,Occasionally,Often,Often,Sometimes,Reduced time on schoolwork,Can't recall such a conflict,Reduced time on schoolwork,Reduced time on schoolwork,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Found a way not to reduce time on either,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Gym and Work,Set Gym aside for school work but never work for school work,Not doing well enough academically,,Pursue trade school,I mostly intend to,Mostly confident,I feel somewhat like I belong,29597632
2023-05-11 9:17:30,2023-05-11 9:37:36,IP Address,100,1206,TRUE,2023-05-11 9:37:37,R_1i9Vil8LJsjLhP0,anonymous,EN,I agree and consent,Woman,,Asian,,18-24,University of Wisconsin Milwaukee,Less than full but at least half courseload,Less than full but at least half courseload,3.3 - 4.0,12 months or less,At least once a month,At least once a month,At least once in the semester,At least once a month,At least once a month,At least once a month,No,Yes,No,No,Yes,No,No,No,35,20,0,30,30,0,,,,,,,,,Sometimes,Often,Often,Often,Occasionally,,Can't recall such a conflict,Reduced time on the activity,Reduced time on schoolwork,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,NA,NA,Not doing well enough academically,,CIVIL ENGINEERINHG,I fully intend to,Mostly confident,I mostly feel like I belong,71364357
2023-05-11 9:51:14,2023-05-11 10:10:15,IP Address,100,1141,TRUE,2023-05-11 10:10:16,R_D17IhqT16LrJ505,anonymous,EN,I agree and consent,Man,,White,,18-24,University of Wisconsin - Milwaukee ,Full courseload,Full courseload,3.3 - 4.0,More than 12 months but less than 3 years,Never,Never,At least once in the semester,At least once in the semester,Never,Never,No,No,No,No,No,No,No,No,20,18,,54,15,,3,20,20,,4,,,6,Occasionally,Occasionally,Occasionally,Sometimes,Sometimes,Reduced time on schoolwork,Can't recall such a conflict,Reduced time on schoolwork,Found a way not to reduce time on either,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Reduced time on schoolwork,Can't recall such a conflict,Reduced time on schoolwork,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Work,Structure out my homework for the week and look at my work schedule that week and plan accordingly ,Financial challenges,,Go full time at current employment,I fully intend to,Very confident,I strongly feel like I belong,5492552
2023-05-11 10:18:17,2023-05-11 10:26:26,IP Address,100,489,TRUE,2023-05-11 10:26:27,R_2wMlqiASi3KD7to,anonymous,EN,I agree and consent,Man,,Another race/ethnicity not listed here (please specify),Asian Indian ,18-24,University of Wisconsin Milwaukee ,Full courseload,Full courseload,3.3 - 4.0,12 months or less,At least once a week,At least once a week,At least once in the semester,At least once in the semester,At least once a month,At least once a month,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158052
2023-05-11 11:21:14,2023-05-11 11:24:57,IP Address,100,222,TRUE,2023-05-11 11:24:57,R_1QL5d0eRZ3UPbIM,anonymous,EN,I agree and consent,Man,,Asian,,18-24,Uw Milwaukee ,Full courseload,Full courseload,2.8 - 3.29,12 months or less,Never,Never,At least once in the semester,At least once in the semester,Never,Never,No,No,No,No,No,No,No,No,6,0,0,40,10,8,4,5,5,0,2,4,0,0,Never,Never,Never,Never,Never,Reduced time on schoolwork,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Reduced time on the activity,Reduced time on the activity,None,I dont ,To pursue other interests,,Economics,I mostly intend to,Mostly confident,I mostly feel like I belong,67381223
2023-05-11 15:09:50,2023-05-11 15:13:38,IP Address,100,227,TRUE,2023-05-11 15:13:38,R_3FPa4NleHVLHTUI,anonymous,EN,I agree and consent,Woman,,Asian,,18-24,University of Wisconsin Milwaukee,Full courseload,Full courseload,3.3 - 4.0,More than 12 months but less than 3 years,Never,Never,Never,Never,Never,Never,No,Yes,Yes,No,No,No,No,No,50,,21,49,7,7,,,,,,,,,Often,Often,Often,Often,Often,,,,,,,,,,,,,,,,,,,,,,32055262
2023-05-11 15:10:21,2023-05-11 15:15:40,IP Address,100,319,TRUE,2023-05-11 15:15:40,R_1DzZKcNbXG1a3jw,anonymous,EN,I agree and consent,Another gender identity not listed here (please specify),Nonbinary,White,,18-24,University of Wisconsin - Milwaukee,Less than full but at least half courseload,Full courseload,2.8 - 3.29,3 years or more,Never,At least once a week,At least once in the semester,At least once in the semester,Never,Never,No,Yes,No,No,No,No,No,No,30,20,0,50,7,2,10,5,,0,3,0,0,,Never,Never,Occasionally,Sometimes,Never,Found a way not to reduce time on either,,Reduced time on the activity,,,,,Reduced time on the activity,,,,,,,,Financial challenges,,"Work full time until I had the time, money, and energy to return or transfer to a different program",I fully intend to,Mostly confident,I feel somewhat like I belong,42042627
2023-05-11 15:19:41,2023-05-11 15:21:57,IP Address,100,136,TRUE,2023-05-11 15:21:57,R_10x6v19BrgupIzk,anonymous,EN,I agree and consent,Man,,Asian,,25-34,University of wisconsin Milwaukee,Full courseload,Full courseload,3.3 - 4.0,12 months or less,At least once in the semester,Never,At least once in the semester,At least once in the semester,At least once in the semester,At least once in the semester,No,Yes,Yes,Yes,Yes,Yes,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Occasionally,Sometimes,Sometimes,Occasionally,Sometimes,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Found a way not to reduce time on either,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Found a way not to reduce time on either,Reduced time on the activity,Reduced time on the activity,,,To pursue other interests,,,I fully intend to,Very confident,I strongly feel like I belong,23484262
2023-05-11 16:19:08,2023-05-11 16:27:55,IP Address,100,527,TRUE,2023-05-11 16:27:56,R_1oG7hGFDHi2sHzU,anonymous,EN,I agree and consent,Woman,,White,,18-24,University of Wisconsin Milwaukee ,Full courseload,Full courseload,3.3 - 4.0,3 years or more,At least once a week,At least once a month,Never,At least once a month,At least once a week,At least once a week,Yes,No,No,Yes,No,No,No,Yes,60,20,3,49,5,2,8,10,0,0,6,0,1,0,Often,Often,Often,Often,Often,,Reduced time on schoolwork,Reduced time on the activity,Found a way not to reduce time on either,Reduced time on the activity,Reduced time on schoolwork,Reduced time on schoolwork,Reduced time on the activity,,Reduced time on schoolwork,,,,Me finding the time to be a person,I don’t do things that make me happy,Financial challenges,,Serve,I fully intend to,Very confident,I strongly feel like I belong,1047182
2023-05-11 19:20:26,2023-05-11 19:29:46,IP Address,100,560,TRUE,2023-05-11 19:29:47,R_2dMcTnFKQ5CGQdU,anonymous,EN,I agree and consent,Woman,,Asian,,18-24,University of Wisconsin Milwaukee ,More than full courseload,Full courseload,2.8 - 3.29,12 months or less,At least once a month,At least once a month,At least once a month,At least once a month,At least once a month,At least once a month,Yes,Yes,No,No,No,No,No,No,20,20,5,10,5,1,1,5,5,2,2,0,0,5,Often,Often,Often,Often,Often,,,,,,,,,,,,,,,,To pursue other interests,,Modeling or YouTube ,I fully intend to,Very confident,I mostly feel like I belong,26089291
2023-05-11 21:11:09,2023-05-11 21:18:54,IP Address,100,465,TRUE,2023-05-11 21:18:55,R_2pMKPXX7wKnR04u,anonymous,EN,I agree and consent,Man,,White,,18-24,University of Wisconsin - Milwaukee,Full courseload,Full courseload,3.3 - 4.0,More than 12 months but less than 3 years,At least once a week,At least once a week,At least once in the semester,At least once in the semester,At least once a month,At least once a week,Yes,Yes,Yes,Yes,No,No,No,Yes,45,2,2,48,10,1,3,15,10,0,2,0,0,5,Often,Sometimes,Sometimes,Often,Often,Reduced time on the activity,Found a way not to reduce time on either,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,"Personal relationships, exercise, eating and cooking, sleeping, church.",Usually end up having to sacrifice activity to make more time for school work.,To pursue other interests,,Try to find a job using my previous degree in biology.,I fully intend to,Very confident,I strongly feel like I belong,86041047
2023-05-11 21:51:50,2023-05-11 22:00:02,IP Address,100,491,TRUE,2023-05-11 22:00:05,R_32QOyXNcxGxveis,anonymous,EN,I agree and consent,Man,,White,,18-24,University of Wisconsin Milwaukee,Full courseload,Full courseload,2.8 - 3.29,More than 12 months but less than 3 years,Never,At least once in the semester,At least once in the semester,Never,Never,Never,No,No,No,No,No,No,No,No,50,20,0,42,1,7,4,0,38,0,3,0,0,3,Often,Never,Never,Sometimes,Occasionally,Found a way not to reduce time on either,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Hobbies and fun,I spend too long doing something and then I stay up late doing homework that I could have done during the day,Financial challenges,,Electrician or a trade job,I fully intend to,Very confident,I feel somewhat like I belong,85140138
2023-05-13 11:16:52,2023-05-13 11:24:31,IP Address,100,458,TRUE,2023-05-13 11:24:31,R_21nPfExzl6Bl5Ux,anonymous,EN,I agree and consent,Woman,,"White,Hispanic or Latino",,25-34,University of Wisconsin - Milwaukee,Less than full but at least half courseload,Full courseload,3.3 - 4.0,12 months or less,Never,Never,Never,Never,At least once in the semester,At least once in the semester,No,Yes,No,Yes,No,No,No,No,20,15,8,49,3,6,1,10,10,0,4,0,0,20,Often,Sometimes,Sometimes,Occasionally,Often,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on schoolwork,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Sleep and other activities/volunteer work,Cut back on them,To pursue other interests,,I have no idea. Computing already is my plan B (from medicine).,I fully intend to,Very confident,I strongly feel like I belong,28457201
2023-05-13 11:24:40,2023-05-13 11:28:55,IP Address,100,254,TRUE,2023-05-13 11:28:55,R_30wxUFjwoVLYJsh,anonymous,EN,I agree and consent,Woman,,"White,Hispanic or Latino",,25-34,University of Wisconsin - Milwaukee,Less than full but at least half courseload,Less than full but at least half courseload,3.3 - 4.0,12 months or less,Never,Never,Never,Never,At least once in the semester,At least once in the semester,No,Yes,No,Yes,No,No,No,No,20,15,10,49,12,6,1,10,20,0,4,0,0,15,Often,Sometimes,Occasionally,Occasionally,Often,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Found a way not to reduce time on either,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Sleep and other activities/volunteer work.,Cut back on them.,To pursue other interests,,"I have no idea. Computing already is my plan B (from medicine)

(please disregard my previous entry to this survey; I'm redoing it because I forgot to copy the code to the raffle.)",I fully intend to,Very confident,I strongly feel like I belong,71501676
